name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite,sModDesc,order,
重型能量武器集成,energyintegration_ac,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AC_EnergyIntegration,"该舰船针对大型能量武器进行了适配,大型能量武器的装配点需求下降10点。",写描述，喂，写描述.,graphics/hullmods/ac_highengery_integration.png,,,
航空作业禁止,hangardisabled_ac,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AC_HangarDisabled,非正常船体，航空作业受到了限制。,写描述，喂，写描述.,graphics/hullmods/ac_deck_ban.png,,,
集成定位核心,targetlocationex_ac,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AC_TargetLocationEx,"先进目标定位的某种前身,性能略低,但点防武器享受正常的加成。",写描述，喂，写描述.,graphics/hullmods/ac_integration_core.png,,,
狂飙填弹器,hurricaneammofeed_ac,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AC_HurricaneAmmoFeed,"该舰的舰船子系统经过了高度特化,能够使实弹武器以某种病态般的过载形式倾泻火力。",写描述，喂，写描述.,graphics/hullmods/generic_mod.png,,,
加长能量滑轨,energyincreasesmall_ac,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AC_EnergyIncreaseSmall,"通过强化能量武器的磁约束电容部件,从而增加小型能量射弹武器射程",写描述，喂，写描述.,graphics/hullmods/ac_confinement.png,,,
导弹装填器,missileloader_ac,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AC_Missileloader,"通过额外的自动化设备,增加舰船的导弹装填速度。",写描述，喂，写描述.,graphics/hullmods/missile_autofactory.png,,,
狭窄飞行甲板,narrowdeck_ac,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AC_NarrowDeck,"过于狭窄的舰体无力承载完备的战机整备设施,万幸的是者仅战机整备造成了速率的下降而未对其质量造成影响。",写描述，喂，写描述.,graphics/hullmods/damaged_flight_deck.png,,,
固化式电网系统,immobilizationgrid_ac,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AC_ImmobilizationGrid,"与常规电网系统截然不同的特殊设计,通过某种“固化”机制减少舰船的电网压力。",写描述，喂，写描述.,graphics/hullmods/omni_shield_emitter.png,,,
高缓冲装甲,highdamperarmor_ac,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AC_HighDamperArmor,"100等效能量dph以下的伤害减免50%s,100等效能量dph以上伤害的减免15%s。",写描述，喂，写描述.,graphics/hullmods/solar_shielding.png,,,
链接传送辅助插件,linkteleport_ac,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AC_LinkTeleport,"链接式传送,能够将舰船作为某种节点,将战机传送至战舰周围。",写描述，喂，写描述.,graphics/hullmods/high_volition_attractor.png,,,
