name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
空雷突袭,mine_strike_ac,,,,,,0.1,,1,0.2,0.25,,0.25,0,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
强力驱动,jets_ac,,,,,,,,3,0.1,0.2,2,0.4,0,,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
高速充能器,highspeedcharger_ac,1,,,,,,,3,0.05,0.25,4.5,0.25,5,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
魅影传送立场,teleporter_ac,,,,,,,,3,0.05,0.75,0,0.75,3,,,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
弱效时流之壳,temporalshellweak_ac,1,,,,,0.125,,3,0.1,0.5,2,0.5,2,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
弱效时流之壳改,temporalshellweakre_ac,1,,,,,0.125,,,,4,10,2,10,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
引擎干扰,acausaldisruptoreng_ac,,,,,,0.25,,,,0.5,,1,20,,,,,,,,,,,,,graphics/icons/hullsys/quantum_disruptor.png
等离子推进器,plasmajets_ac,,,,,,,,,,0.5,2,1,7,,,,,,,,,,,,,graphics/icons/hullsys/infernium_injector.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
火控链接,firecontrolink_ac,1,,,,,,,,,0.25,9.5,0.25,10,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
硬质化,hardening_ac,1,,,,,,,3,0.05,0.25,4.5,0.25,1,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
超载,overload_ac,1,,,,,,,3,0.05,0.25,4.5,0.25,1,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
电光石火,quickattack_ac,1,,,,,,,2,0.05,1,2,0.25,3,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
电光石火,quickattack_ac_1,1,,,,,,,,,0.5,4,0.25,10,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
链接传送,linkteleporter_ac,,,,,,,,,,0.25,0.5,0.25,10,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
再装填,reload_ac,,,,,,0.1,,3,0.1,1,0,0,0,,,,,,,,,,,graphics/icons/hullsys/missile_racks.png,,graphics/icons/hullsys/high_energy_focus.png
超载,overload_ac_1,1,,,,,,,,0.05,0.25,9.5,0.25,10,,,,,,,,,,,,,graphics/icons/hullsys/high_energy_focus.png
